puuid,match_id
4NI6m23zZtzjHi3xUbkRnn3aUYcTOYSMvg8D-uev9JQlZn5ahs6vHmOnCGNHYljOFbsw4ODsXu1dRQ,EUW1_7810768347
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813220559
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813171943
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813130925
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813091783
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813055609
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7813028841
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7812017763
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7811976930
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7811944798
_jU3kcYrdmle2PNNi_e9SjE1-0fHWLFq4lp0AydftHoZ5ueOLhGceQfTHISCk9fsX9Rt9rWa_lqnjQ,EUW1_7811537012
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7813554459
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7812765082
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7812716587
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7812674398
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7812592375
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7812542332
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7811823107
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7811595050
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7811547133
ydonl0UCnDpsFLUfaVnHX2m_qlZYHZxF6kvRHgXJxWCrOqZ-PPaPdn0cTDNWU8rHVmfV01-BGyrozw,EUW1_7811492536
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813319735
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813269546
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813232816
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813171943
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813137648
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813095088
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813054245
aI9cPJXebDtWbQ_eFhp7-WEYRYW4VpYo3UCJSrZ2nnuQZz0SX7a2w0Pb4xrRkOEocLkiAfeDWDfJeQ,EUW1_7813020866
